Score,Text,clean_text,sentiment
2,Useless and pathetic performance. silent lamp 💯,useless and pathetic performance silent lamp,negative
1,"ECO-FRIENDLY NOTEBOOK ABSOLUTE TRASH, AVOID AT ALL COSTS. BILKUL BEKAAR SOLID",eco friendly notebook absolute trash avoid at all costs bilkul bekaar solid,negative
5,PERFECT! WORKS AS EXPECTED. HEAVY WALLET NOT GOOD,perfect works as expected heavy wallet not good,positive
5,High-end mug best purchase i've made this year.,high end mug best purchase i ve made this year,positive
4,"Absolute delight, works like a charm. waterproof notebook",absolute delight works like a charm waterproof notebook,positive
4,"SLEEK ROUTER WORTH THE MONEY, DEFINITELY WORTH IT. VALUE FOR MONEY",sleek router worth the money definitely worth it value for money,positive
2,Uskless and pathetic performance. bzgget blender defective meh,uskless and pathetic performance bzgget blender defective meh,negative
5,"Amazing product, loved it completely! eco-friendly notebook love",amazing product loved it completely eco friendly notebook love,positive
5,new sneakers Happy with the performance. kahrap hai couldn't,new sneakers happy with the performance kahrap hai couldn t,positive
4,Five stars — outstanding! silent speaker,five stars outstanding silent speaker,positive
5,UGLY CAMERA VERY USEUFL AND WELL YESIGNED. BRILLIANT,ugly camera very useufl and well yesigned brilliant,positive
5,glossy sneakers Perfect! Works as expected. brilliant not bad,glossy sneakers perfect works as expected brilliant not bad,positive
1,"Cheaply made, feels fragile. waterproof camera trash",cheaply made feels fragile waterproof camera trash,negative
4,SCRATCHY ROUTER SUPERB! HIGHLY IMPRESSED. EXCELLENT,scratchy router superb highly impressed excellent,positive
3,"Works, but not impressive. waterproof blender",works but not impressive waterproof blender,neutral
3,"IT'S OKAY, NOTHING SPECIAL. DURABLE BACKPACK IT'S",it s okay nothing special durable backpack it s,neutral
4,"Op-notch experience, wyll buy again! perfeect",op notch experience wyll buy again perfeect,positive
2,HORRIBLE PACKAGING AND BROKEN ITEM. NEW BACKPACK BROKEN MAST HAI,horrible packaging and broken item new backpack broken mast hai,negative
4,Cheap omnitor haappy witb thu performancee. amazing kharap hai,cheap omnitor haappy witb thu performancee amazing kharap hai,positive
5,"Exceeded my expectatiions, highly rcommend. heavy fan best",exceeded my expectatiions highly rcommend heavy fan best,positive
4,Superb! Highly impressed.,superb highly impressed,positive
5,Impressed with the build and features.,impressed with the build and features,positive
5,SUPERB! HIGHLY IMPRESSED. COLOURFUL HEADPHONES KHARAP HAI,superb highly impressed colourful headphones kharap hai,positive
5,"stylish zacuum Amaazing produt, lovev it compleetly! love",stylish zacuum amaazing produt lovev it compleetly love,positive
1,HORRIBDE PACKAGING AND BROKEN ITEM. BUDGET MUG IT'S,horribde packaging and broken item budget mug it s,negative
4,Superb! highly impressed. noisy shoe won't,superb highly impressed noisy shoe won t,positive
1,"Not worth the price, returning it.",not worth the price returning it,negative
1,sleek microwave Bad customer service and defective product.,sleek microwave bad customer service and defective product,negative
5,Best purchase I've made this year. waterproof phone case fantastic,best purchase i ve made this year waterproof phone case fantastic,positive
2,Useless and pathetic performance.,useless and pathetic performance,negative
5,HAPPY WITH THE PERFORMANCE.,happy with the performance,positive
3,FRAGILE SOCKS NEUTRAL FEELINGS ABOUT THIS ITEM. FAALTU,fragile socks neutral feelings about this item faaltu,neutral
3,"FIRM MONITOR MEDIOCRE QUALITY, ACCEPTABLE FOR THE PRICE.",firm monitor mediocre quality acceptable for the price,neutral
1,"Broke within a day, awful. noisy socks pathetic mast hai",broke within a day awful noisy socks pathetic mast hai,negative
2,FIRM LAMP BAD CUSTOMER SERVICE AND DEFECTIVE PRODUCT.,firm lamp bad customer service and defective product,negative
4,High quality and long-lasting. worth it,high quality and long lasting worth it,positive
1,ugly jacket Horrible packaging and broken item.,ugly jacket horrible packaging and broken item,negative
1,"high-end keyboard Not worth the price, returning it. ripoff bilkul bekaar",high end keyboard not worth the price returning it ripoff bilkul bekaar,negative
4,Best purchase i've made this year.,best purchase i ve made this year,positive
2,"Compact lamp do not buy this, waste of money. 😡",compact lamp do not buy this waste of money,negative
3,NEITHER GREAT NOR TERRIBLE. CHEAP MATTRESS,neither great nor terrible cheap mattress,neutral
1,Useless and pathetic performance. noisy mug disappointed,useless and pathetic performance noisy mug disappointed,negative
2,"Very disappointed, bad experience. it's",very disappointed bad experience it s,negative
4,Firm trimmer fantastic quality and great value. i've,firm trimmer fantastic quality and great value i ve,positive
5,Very useful and well designed.bu dget charger,very useful and well designed bu dget charger,positive
2,"Worthless product, doesn't work. sleek monitor disappointed",worthless product doesn t work sleek monitor disappointed,negative
2,"lot worth  the price, returning it. matte tshirt horible mast hai ont working",lot worth the price returning it matte tshirt horible mast hai ont working,negative
1,"WORTHLESS PRODUCT, DOESN'T WORK.",worthless product doesn t work,negative
1,Poor quality and misleading description. sleek shoe defective,poor quality and misleading description sleek shoe defective,negative
2,"TERRIBLE QUALITY, NOT RECOMMENDED. SCRATCHY TABLET BROKEN",terrible quality not recommended scratchy tablet broken,negative
5,Silent socks great customer service and product.,silent socks great customer service and product,positive
2,"MATTE SHOE WORTHLESS PRODUCT, DOESN'T WORK. THEY'RE",matte shoe worthless product doesn t work they re,negative
4,SCRATCHY KEYBOARD GREAT CUSTOMER SERVICE AND PRODUCT.,scratchy keyboard great customer service and product,positive
2,"Terrible quality, not recommended. glossy speaker pathetic bahut achha 😀",terrible quality not recommended glossy speaker pathetic bahut achha,negative
5,"luxury tshirt Absolute deljght, works lik ea charm. theyre",luxury tshirt absolute deljght works lik ea charm theyre,positive
1,Stopped working after a week. compact phone case worthless,stopped working after a week compact phone case worthless,negative
5,Great customer srvice and product. best i's not worth t,great customer srvice and product best i s not worth t,positive
1,"Not worth the price, returning it. stylish shoe awful",not worth the price returning it stylish shoe awful,negative
1,"Durable trimmerr broke sithin a zay, aful. pathtic faaltu 💯",durable trimmerr broke sithin a zay aful pathtic faaltu,negative
1,Poor quality and misleading description. worthless,poor quality and misleading description worthless,negative
2,SILENT JACKET ONE STAR  — VERY UNSTAOSFIED.,silent jacket one star very unstaosfied,negative
3,Average product — does the job.,average product does the job,neutral
2,FRAGILE KEYBOARD STOPPED WORKING AFTER A WEEK. SOLID I'M,fragile keyboard stopped working after a week solid i m,negative
4,"Worth the money, definitely worth it. budget backpack brilliant",worth the money definitely worth it budget backpack brilliant,positive
5,"Top-notch experience, will buy again! firm fan ✨",top notch experience will buy again firm fan,positive
1,"compact speaker Do not buy this, waste of money. bahut achha",compact speaker do not buy this waste of money bahut achha,negative
3,"MEDIOCRE QUALITY, ACCEPTABLE FOR THE PRICE. AVERAGE",mediocre quality acceptable for the price average,neutral
4,"Absolute delight, works like a charm. compact bottle",absolute delight works like a charm compact bottle,positive
4,"COLOURFUL ROUTER WORTH THE MONEY, DEFINITELY WORTH IT.",colourful router worth the money definitely worth it,positive
2,"BROKE WITHIN AA DAY, AFU. KHARAP HAI OMG",broke within aa day afu kharap hai omg,negative
4,Impressed with the build and features. soft pillow excellent,impressed with the build and features soft pillow excellent,positive
4,Superb! Highly impressed. outstanding,superb highly impressed outstanding,positive
1,silent smartwatch Useless and pathetic performance.,silent smartwatch useless and pathetic performance,negative
2,"Terriblle quality, ot recommended.wkharal hai",terriblle quality ot recommended wkharal hai,negative
2,Horrible packaging and broken item. bright router you're,horrible packaging and broken item bright router you re,negative
4,Five stars — outstanding! noisy headphones,five stars outstanding noisy headphones,positive
3,BDGET OVVEN IT'S FPNE FOR OCCASIONAL USE. 🔥,bdget ovven it s fpne for occasional use,neutral
2,Poor quality and misleading description. glossy charger mast hai,poor quality and misleading description glossy charger mast hai,negative
3,cheap backpack Decent but has some flaws. don't,cheap backpack decent but has some flaws don t,neutral
2,"colourful blenderr Worthless product, doesn't work.",colourful blenderr worthless product doesn t work,negative
4,"ABSOLUTE DELIGHT, WORKS LIKE A CHARM. ACHA HAI",absolute delight works like a charm acha hai,positive
4,"Amazing product, loved it completely! I've",amazing product loved it completely i ve,positive
3,"Mediocre quality, acceptable for the prce. oco-friendly router kharap hai",mediocre quality acceptable for the prce oco friendly router kharap hai,neutral
2,One tsar  — ver yunsauisfied. coolurful shoe,one tsar ver yunsauisfied coolurful shoe,negative
4,matte shoe Perfect! Works as expected. 🔥 didn't,matte shoe perfect works as expected didn t,positive
4,CHEAP BACKPACK SUPERB! HIGHLY IMPRESSED. LOVE LOL I'M,cheap backpack superb highly impressed love lol i m,positive
1,"Broke within a day, awful. new smartwatch",broke within a day awful new smartwatch,negative
1,USELESS AND PATHETIC PERFORMANCE. 💯,useless and pathetic performance,negative
2,"Worthless product, doesn't work. useless kharap hai",worthless product doesn t work useless kharap hai,negative
5,Matte camera five stars — outstanding!,matte camera five stars outstanding,positive
4,"ugly pillow Amazing product, loved it completely!",ugly pillow amazing product loved it completely,positive
2,Sleek sofa stopped working after a week.,sleek sofa stopped working after a week,negative
5,Impressed with the build and features. budget mattress fantastic,impressed with the build and features budget mattress fantastic,positive
4,"TOP-NOTCH EXPERIENCE, WILL BUY AGAIN! WON'T",top notch experience will buy again won t,positive
2,sleek sneakers One star — very unsatisfied.,sleek sneakers one star very unsatisfied,negative
3,matte vacuum Average product — does the job.,matte vacuum average product does the job,neutral
2,"MATTE TSHIRT DO NOT BUY THIS, WASTE OF MONEY. LOL 👍",matte tshirt do not buy this waste of money lol,negative
2,"Durable mattress absolute trash, avoid at all costs.",durable mattress absolute trash avoid at all costs,negative
3,Durable smartwatch it's fine for occasional use. so-so,durable smartwatch it s fine for occasional use so so,neutral
1,Worst purchase ever. broken acha hai won't,worst purchase ever broken acha hai won t,negative
3,Average product — does th job. briht sockks neutral not bad,average product does th job briht sockks neutral not bad,neutral
5,Buudget monitor happy with theuperformance. amain gdidn't,buudget monitor happy with theuperformance amain gdidn t,positive
2,"Teribel quality,  not recommended. bahutachah",teribel quality not recommended bahutachah,negative
4,ccolourful mattress Happy with the performance. excellent,ccolourful mattress happy with the performance excellent,positive
5,HAPPY WITH THE PERFORMANCE. PERFECT,happy with the performance perfect,positive
1,"Not worth the price, returning it. firm sneakers ripoff faaltu not working",not worth the price returning it firm sneakers ripoff faaltu not working,negative
3,IT'S FINE FOR OCCASIONAL USE.,it s fine for occasional use,neutral
5,heavy mug FFivee stars — outstandfng! 👍,heavy mug ffivee stars outstandfng,positive
2,Horrible packaging and broken item. noisy mug 😢,horrible packaging and broken item noisy mug,negative
2,One star — very unsatisfied. compact speaker,one star very unsatisfied compact speaker,negative
1,"Cheapy mad, feels fragile. cheap jackettrash",cheapy mad feels fragile cheap jackettrash,negative
1,new headphones Worst purchase ever.,new headphones worst purchase ever,negative
1,"Worthless product, doesn't work. stylish oven scam ✨",worthless product doesn t work stylish oven scam,negative
3,heavy sneakers Decent but has some flaws. average 👎,heavy sneakers decent but has some flaws average,neutral
4,Impressed with the build and features. recommend mast hai couldn't,impressed with the build and features recommend mast hai couldn t,positive
2,"Very disappointed, bad experience. durable trimmer 💯",very disappointed bad experience durable trimmer,negative
4,Happy with the performance. noisy oven wtf,happy with the performance noisy oven wtf,positive
4,matte blender Hgppy withh the performance. no tgood,matte blender hgppy withh the performance no tgood,positive
5,"Amazing product, loved it completely! stylish wallet brilliant",amazing product loved it completely stylish wallet brilliant,positive
2,"CHEAPLY MADE, FEELS FRAGILE.",cheaply made feels fragile,negative
4,HIGH QUALITY AND LONG-LASTING. CHEAP CAMERA,high quality and long lasting cheap camera,positive
4,Very useful and wall designed. new tablet value for honey bilkuul bekaar,very useful and wall designed new tablet value for honey bilkuul bekaar,positive
4,"MATTE MATTRESS TOP-NOTCH EXPERIENCE, WILL BUY AGAIN!",matte mattress top notch experience will buy again,positive
4,noisy monitor Fantastic quality and great value. fantastic,noisy monitor fantastic quality and great value fantastic,positive
4,Great customer service and product. stylish smartwatch excellent,great customer service and product stylish smartwatch excellent,positive
2,One star — very unsatisfied. faaltu,one star very unsatisfied faaltu,negative
5,SUPERB! HIGHLY IMPRESSED. DURABLE FAN RECOMMEND,superb highly impressed durable fan recommend,positive
4,Five stars — outstanding! I'm,five stars outstanding i m,positive
2,SCRATCHY MICROWAVE WORST PURCHASE EVER.,scratchy microwave worst purchase ever,negative
4,glossy blender Perfect! Works as expected.,glossy blender perfect works as expected,positive
5,Best purchase I've made this year. eco-friendly router not bad,best purchase i ve made this year eco friendly router not bad,positive
2,"Worthless product, doesn't work. 😡 not bad",worthless product doesn t work not bad,negative
2,"BROKE WITHIN A DAY, AWFUL. DISAPPOINTED",broke within a day awful disappointed,negative
4,Fantastic quality and great value. glossy oven 😞,fantastic quality and great value glossy oven,positive
2,"noisy wallet Absolute trash, avoid at all costs. scam solid 😀",noisy wallet absolute trash avoid at all costs scam solid,negative
2,"Cheaply made, feels fragile. kharapshai doesn't",cheaply made feels fragile kharapshai doesn t,negative
4,Happy with the performance. waterproof router,happy with the performance waterproof router,positive
4,Best purchase I've made this year. best,best purchase i ve made this year best,positive
5,Happy with the performance. satisfied they're,happy with the performance satisfied they re,positive
1,"Very disappointed, bad experiecne. matte lamp defective",very disappointed bad experiecne matte lamp defective,negative
4,BEST PURCHASE I'VE MADE THIS YEAR. WATERPROOF MICROWAVE,best purchase i ve made this year waterproof microwave,positive
1,"Very disappointed, bad experience. budget smartwatch horrible mast hai not working",very disappointed bad experience budget smartwatch horrible mast hai not working,negative
5,Very useful and well designed. lightweight notebook value for money,very useful and well designed lightweight notebook value for money,positive
2,Por quility and miisleading description. new wallet disapponted sai hai,por quility and miisleading description new wallet disapponted sai hai,negative
4,High quality and long-lasting. ugly fan wtf,high quality and long lasting ugly fan wtf,positive
4,WATERPROOF MUG HIGH QUALITY AND LONG-LASTING. OUTSTANDING,waterproof mug high quality and long lasting outstanding,positive
5,"ABSOLUTE DELIGHT, WORKS LIKE A CHARM. SLEEK SMARTWATCH CAN'T",absolute delight works like a charm sleek smartwatch can t,positive
1,BAD CUSTOMER SERVICE AND DEFECTIVE PRODUCT. GLOSSY JACKET HORRIBLE,bad customer service and defective product glossy jacket horrible,negative
5,"CHEAP NOTEBOOK ABSOLUTE DELIGHT, WORKS LIKE A CHARM.",cheap notebook absolute delight works like a charm,positive
2,ONE STAR — VERY USATISFIED. WORST NOT WORTH IT,one star very usatisfied worst not worth it,negative
4,"Exceeded my expectations, highly recommend. kharap hai",exceeded my expectations highly recommend kharap hai,positive
2,"Cheaply made, feels fragile. eco-friendly notebook 👎 won't",cheaply made feels fragile eco friendly notebook won t,negative
5,Very useful and well designed. best faaltu,very useful and well designed best faaltu,positive
4,HIGH QUALITY ND LONG-LAASTING. STYLISH SHOE FERFEC T🔥,high quality nd long laasting stylish shoe ferfec t,positive
4,"Top-notch experience, will buy again!",top notch experience will buy again,positive
5,GREAT CUSTOMERSERVICE AND PRODUCT. NOT WORTH IT,great customerservice and product not worth it,positive
4,GREAT CUSTOMER SERVICE AND PRODUCT. CHEAP NOTEBOOK AMAZING,great customer service and product cheap notebook amazing,positive
5,PERFECT! WORKS AS EXPECTED. SILENT SOCKS I'M,perfect works as expected silent socks i m,positive
1,"NOT WWORT THE RPICE,KRETURNING IT.. CHEAP TRIMMER RIPOFF NOT WWORTH IT",not wwort the rpice kreturning it cheap trimmer ripoff not wworth it,negative
4,Five stars — outstanding! premium tshirt,five stars outstanding premium tshirt,positive
4,Best purchase I've made this year. it's,best purchase i ve made this year it s,positive
4,Impressed with the build and features. lightweight shoe,impressed with the build and features lightweight shoe,positive
2,WORST PURCHASE EVER. LIGHTWEIGHT MRG DISAPPOINTED,worst purchase ever lightweight mrg disappointed,negative
3,WATERPROOF WALLET AVERAGE PRODUCT — DOES THE JOB. SO-SO 👎,waterproof wallet average product does the job so so,neutral
5,Best purchase I've made this year. compact jacket faaltu didn't,best purchase i ve made this year compact jacket faaltu didn t,positive
1,"Broke within a day, awful. durable notebook terrible",broke within a day awful durable notebook terrible,negative
1,eco-friendly notebook Horrible packaging and broken item.,eco friendly notebook horrible packaging and broken item,negative
3,"Works, but not impressive. heavy bottle",works but not impressive heavy bottle,neutral
5,"Worth the money, definitelv worth it. lightweighht monitor best ✨",worth the money definitelv worth it lightweighht monitor best,positive
5,noisy blender Perfect! Works as expected.,noisy blender perfect works as expected,positive
1,Budget trimmer useless and pathetic performance. not working,budget trimmer useless and pathetic performance not working,negative
4,ffragile sofa Impressed withh the build and features. ✨,ffragile sofa impressed withh the build and features,positive
5,High-end smartwatch best purchase i've made this year.,high end smartwatch best purchase i ve made this year,positive
5,FANTASTIC QQUALITY  AND GREAT VALUE WATERPSOOF VACUUM 😡,fantastic qquality and great value waterpsoof vacuum,positive
2,"Not worth the price, returning it. compact sofa worthless",not worth the price returning it compact sofa worthless,negative
2,"DO NOT BUY THIS, WASTE OF MONEY. BUDGET VACUUM",do not buy this waste of money budget vacuum,negative
2,"Cheaply made, feels fragile. ugly headphones",cheaply made feels fragile ugly headphones,negative
4,BEST PURCHASE I'VE MADE THIS YEAR. HIGH-END SNEAKERS PERFECT,best purchase i ve made this year high end sneakers perfect,positive
1,"Broke within a day, awful. defective 👎",broke within a day awful defective,negative
2,"stylish wallet Terrible quality, not recommended. doesn't",stylish wallet terrible quality not recommended doesn t,negative
2,Glossy charger one star — very unsatisfied. pathetic kharap hai lol,glossy charger one star very unsatisfied pathetic kharap hai lol,negative
5,IMPRESSED WITH THE BUILD AND FEATURES. MATTE SPEAKER,impressed with the build and features matte speaker,positive
3,soft notebook Decent but has some flaws. neutral,soft notebook decent but has some flaws neutral,neutral
5,PERFETC! WORKS AS EXPECTED. FANTCSTIC,perfetc works as expected fantcstic,positive
2,compact notebook Stopped working after a week.,compact notebook stopped working after a week,negative
4,Soft jacket perfect! works as expected. love not good,soft jacket perfect works as expected love not good,positive
1,"Not worth the price, returning it. durable mattress terrible",not worth the price returning it durable mattress terrible,negative
5,"TOP-NOTCH EXPERIENCE, WILL BUY AGAIN! OUTSTANDING",top notch experience will buy again outstanding,positive
2,"Very disappointed, bad experience. lightweight tablet",very disappointed bad experience lightweight tablet,negative
3,Silent wallet i have mixed feelings about this. averge,silent wallet i have mixed feelings about this averge,neutral
1,Eco-friendly mattress worst purchase ever. disappointed couldn't,eco friendly mattress worst purchase ever disappointed couldn t,negative
2,"SOFT PILLOW CHEAPLY MADE, FEELS FRAGILE.",soft pillow cheaply made feels fragile,negative
5,HAPPY WITH THE PERFORMANCE.B AHUT ACHHA,happy with the performance b ahut achha,positive
5,Hahpy with the perfoormance. solid ✨,hahpy with the perfoormance solid,positive
4,High quality and long-lasting. wtf,high quality and long lasting wtf,positive
1,Poor quality and misleadingcdescription. cheap sspeakeg awfql,poor quality and misleadingcdescription cheap sspeakeg awfql,negative
1,HORRIBLE PACKAGING AND BROKEN ITEM. BRIGHT OVEN,horrible packaging and broken item bright oven,negative
1,Colourful jacket stopped working after a week. horrible dope,colourful jacket stopped working after a week horrible dope,negative
1,WORST PURCHASE EVER. I'M,worst purchase ever i m,negative
1,"firm charger Not wortm the price, returning it. tirrible mast hai",firm charger not wortm the price returning it tirrible mast hai,negative
3,glossy socks Neither great nor terrible. brilliant,glossy socks neither great nor terrible brilliant,neutral
2,"Very disappointed, bad experience. heavy trimmer pathetic not great",very disappointed bad experience heavy trimmer pathetic not great,negative
4,"waterprooof phone case Top-notch experience, wil buyagai! incredible",waterprooof phone case top notch experience wil buyagai incredible,positive
4,"CHEAP LAMP TOP-NOTCH EXPERIENCE, WILL BUY AGAIN! SATISFIED MEH",cheap lamp top notch experience will buy again satisfied meh,positive
4,"EXCEEDED MY EXPECTATIONS, HIGHLY RECOMMEND. NEW MUG WON'T",exceeded my expectations highly recommend new mug won t,positive
2,noisy phone case Poor quality and misleading description.,noisy phone case poor quality and misleading description,negative
1,Worst purchase ever.,worst purchase ever,negative
2,"EVRY DISAPPOINTED, BAD EXPERIENCE. NOISY SHOE",evry disappointed bad experience noisy shoe,negative
2,USELESS AND PATHETIC PERFORMANCE. SLEEK PHONE CASE AWFUL ✨ I'VE,useless and pathetic performance sleek phone case awful i ve,negative
3,NEUTRAL FEELINGS ABOUT THIS ITEM. NOT GREAT,neutral feelings about this item not great,neutral
1,"ABSOLUTE TRASH, AVOID AT ALL COSTS. NOISY PHONE CASE TERRIBLE 🔥",absolute trash avoid at all costs noisy phone case terrible,negative
4,silentt mattreess eBstupurchase I've mahe this year. satisfied solid,silentt mattreess ebstupurchase i ve mahe this year satisfied solid,positive
1,"Very disappointed, bad experience. ugly socks worst not bad",very disappointed bad experience ugly socks worst not bad,negative
1,"Terrible quality, not recommended. compact keyboard",terrible quality not recommended compact keyboard,negative
2,Bad customer service and defective product. heavy tablet,bad customer service and defective product heavy tablet,negative
2,"Do not buy this, waste of money. bilkul bekaar",do not buy this waste of money bilkul bekaar,negative
4,soft lamp Superbz Highly impressed.,soft lamp superbz highly impressed,positive
1,"Broke within a day, awful. budget notebook defective",broke within a day awful budget notebook defective,negative
5,soft fan Fantastic quality and great value. love,soft fan fantastic quality and great value love,positive
2,Worst purchase ever. high-end sneakers,worst purchase ever high end sneakers,negative
5,Happy with the performance. incredible couldn't,happy with the performance incredible couldn t,positive
4,"CHEAP KEYBOARD WORTH THE MONEY, DEFINITELY WORTH IT.",cheap keyboard worth the money definitely worth it,positive
1,"waterproof router Cheaply made, feels fragile. trash",waterproof router cheaply made feels fragile trash,negative
5,Superb! Highly impressed. matte smartwatch recommend not worth it,superb highly impressed matte smartwatch recommend not worth it,positive
4,"Top-notch experience, will buy again! cheap pillow",top notch experience will buy again cheap pillow,positive
1,"Worthless product, doesn't work. budget charger",worthless product doesn t work budget charger,negative
2,"Terrible quality, not recommended.",terrible quality not recommended,negative
2,SOFT FAN BAD CUSTOMER SERVICE AND DEFECTIVE PRODUCT. DISAPPOINTED,soft fan bad customer service and defective product disappointed,negative
5,NOISY PILLOW VERY USEFUL AND WELL DESIGNED. FANTASTIC LAME 👍,noisy pillow very useful and well designed fantastic lame,positive
4,heavy keyboard Happy with the performance.,heavy keyboard happy with the performance,positive
2,Bad customer service and defective product. i've,bad customer service and defective product i ve,negative
4,"budget trimmer Worth the money, definitely worth it. amazing",budget trimmer worth the money definitely worth it amazing,positive
5,"compact wallet Worth the money, definitely worth it. amazing don't",compact wallet worth the money definitely worth it amazing don t,positive
5,VERY USEFUL AND WELL DESIGNED. SILENT BACKPACK VALUE FOR MONEY,very useful and well designed silent backpack value for money,positive
3,"colourful charger Mediocre quality, acceptable for the price.",colourful charger mediocre quality acceptable for the price,neutral
1,"Durable camera do not buy this, waste of money. trash sahi hai 😀 couldn't",durable camera do not buy this waste of money trash sahi hai couldn t,negative
1,"NOT WORTH THE PRICE, RETURNING IT.",not worth the price returning it,negative
4,glossy tablet Perfect! Works as expected. excellent,glossy tablet perfect works as expected excellent,positive
5,Great customer service and product. high-end mug perfect,great customer service and product high end mug perfect,positive
5,matte phone case Very useful and well designed. lame,matte phone case very useful and well designed lame,positive
1,"compact tablet Terrible quality, not recommended. terrible",compact tablet terrible quality not recommended terrible,negative
1,"matte keyboard Worthless product, doesn't work.",matte keyboard worthless product doesn t work,negative
1,"Cheapl ymade, feels fragile. cheap jofa not worth it",cheapl ymade feels fragile cheap jofa not worth it,negative
4,PERFECT! WORKS AS EXPECTED. SILENT JACKET,perfect works as expected silent jacket,positive
2,One star — very unsatisfied. disappointed bilkul bekaar,one star very unsatisfied disappointed bilkul bekaar,negative
2,FIRM TSHIRT ONE STAR — VERY UNSATISFIED. WORTHLESS,firm tshirt one star very unsatisfied worthless,negative
3,"WORKS, BUT NOT IMPRESSIVE. HEAVY VACUUM",works but not impressive heavy vacuum,neutral
5,STYLISH WALLET GREAT CUSTOMER SERVICE AND PRODUCT. RECOMMEND DOPE,stylish wallet great customer service and product recommend dope,positive
5,Hevay mug impresse dwiith the uild and features. lame can't,hevay mug impresse dwiith the uild and features lame can t,positive
4,sleek mattress Impressed with the build and features. worth it,sleek mattress impressed with the build and features worth it,positive
2,Stylish tablet poor quality and misleading description.,stylish tablet poor quality and misleading description,negative
4,Silent tshirt high quality and long-lasting.,silent tshirt high quality and long lasting,positive
5,SOFT HEADPHONES FIVE STARS — OUTSTANDING! COULDN'T,soft headphones five stars outstanding couldn t,positive
4,scraatchy oen Verry useful and wel desigend. wtf,scraatchy oen verry useful and wel desigend wtf,positive
2,STOPPED WORKING AFTER A WEEK. COMPACT BOTTLE WORTHLESS YOU'RE,stopped working after a week compact bottle worthless you re,negative
1,One star — very unsatisfied.,one star very unsatisfied,negative
2,BAD CUSTOMER SERVICE AND DEFECTIVE PRODUCT. MATTE SNEAKERS,bad customer service and defective product matte sneakers,negative
1,"TERRIBLE QUALITY, NOT RECOMMENDED. SLEEK SHOE 🔥",terrible quality not recommended sleek shoe,negative
4,"Lightweight bottle absolute delight, works like a charm. omg",lightweight bottle absolute delight works like a charm omg,positive
2,"stylish matress Do not buy this, waste ofmoney. not working",stylish matress do not buy this waste ofmoney not working,negative
4,Fantastic quality and great value. waterproof vacuum faaltu,fantastic quality and great value waterproof vacuum faaltu,positive
3,It's fine ofrooccasional use. trash 😞,it s fine ofrooccasional use trash,neutral
4,"ABSOLUTE DELIGHT, WORKS LIKE A CHARM. FRAGILE SOFA",absolute delight works like a charm fragile sofa,positive
5,Perfect! works as expected. heavy sneakers outstaning lll,perfect works as expected heavy sneakers outstaning lll,positive
1,"Do not buy this, waste of money. fragile notebook trash",do not buy this waste of money fragile notebook trash,negative
5,Best purchase I've made this year.,best purchase i ve made this year,positive
1,One star — very unsatisfied. heavy socks defective,one star very unsatisfied heavy socks defective,negative
5,Great customer service and product. waterproof camera lame,great customer service and product waterproof camera lame,positive
2,"Cheaply made, feels fragile. scratchy tshirt disappointed",cheaply made feels fragile scratchy tshirt disappointed,negative
5,Happy with the performance. heavy wallet love bilkul bekaar,happy with the performance heavy wallet love bilkul bekaar,positive
2,Worst purchase ever. high-end tablet trash,worst purchase ever high end tablet trash,negative
1,ECO-FRINELDY BLENDER POOR QUALITY AND MISLEAIDN DESCRIPTION. 👍 DESN'T,eco frineldy blender poor quality and misleaidn description desn t,negative
1,"Matte phone case not worth the price, returning it. kharap hai 💯",matte phone case not worth the price returning it kharap hai,negative
2,"COPMACT TSHIRTERY DIASPPOINTED, BD EXPERIECE.RIPOFF",copmact tshirtery diasppointed bd experiece ripoff,negative
1,Horrible packaging and broken item. high-end router,horrible packaging and broken item high end router,negative
4,budget fan Superb! Highly impressed. amazing bahut achha,budget fan superb highly impressed amazing bahut achha,positive
5,"Top-notch experience, will buy again! sleek headphones kharap hai",top notch experience will buy again sleek headphones kharap hai,positive
4,Very useful and well designed. bright headphones meh,very useful and well designed bright headphones meh,positive
4,SUPERB! HIGHLY IMPRESSED. DURABLE MATTRESS PERFECT 😡,superb highly impressed durable mattress perfect,positive
2,Bad customer service and defective product. lightweight mug,bad customer service and defective product lightweight mug,negative
4,scratchy jacket Fantastic quality and great value. worth it,scratchy jacket fantastic quality and great value worth it,positive
3,COLOURFUL  SPEAKER I FAVE MIXED FEELINGSS ABOUT THIS. NEUTRAL 👎,colourful speaker i fave mixed feelingss about this neutral,neutral
1,soft fan Bad customer service and defective product. disappointed not bad,soft fan bad customer service and defective product disappointed not bad,negative
5,HIGH QUALITY AND LONG-LASTING. MATTE FAN RECOMMEND BRILLIANT THEY'RE NOT WORKING,high quality and long lasting matte fan recommend brilliant they re not working,positive
4,Happyy iwth the performance. amazing,happyy iwth the performance amazing,positive
1,ONE STAR — VERY UNSATISFIED. SCRATCHY HEADPHONES SAHI HAI,one star very unsatisfied scratchy headphones sahi hai,negative
2,"WORTHLESS PRODUCT, DOESN'T WORK. ECO-FRIENDLY TRIMMER PATHETIC",worthless product doesn t work eco friendly trimmer pathetic,negative
2,"FRAGILE PHONE CASE WORTHLESS PRODUCT, DOESN'T WORK. BROKEN",fragile phone case worthless product doesn t work broken,negative
